id,region,kommun_namn,age_group,population,num_minst_1_dos,num_fully_vaccinated,proportion_of_minst_1_dos,proportion_of_fully_vaccinated
2,Stockholm,Upplands Väsby,30-39,7088,4976,4341,0.702031603,0.612443567
3,Stockholm,Upplands Väsby,40-49,6802,5308,5010,0.780358718,0.7365480740000001
4,Stockholm,Upplands Väsby,50-59,6185,5360,5190,0.866612773,0.83912692
5,Stockholm,Upplands Väsby,60-69,4177,3721,3627,0.89083074,0.86832655
6,Stockholm,Upplands Väsby,70-79,4096,3796,3697,0.9267578129999999,0.9025878909999999
7,Stockholm,Upplands Väsby,80-89,1810,1703,1607,0.940883978,0.8878453040000001
8,Stockholm,Upplands Väsby,>=90,344,321,291,0.933139535,0.8459302329999999
11,Stockholm,Vallentuna,30-39,4077,3302,3036,0.809909247,0.744665195
12,Stockholm,Vallentuna,40-49,5267,4676,4480,0.8877919120000001,0.850579077
13,Stockholm,Vallentuna,50-59,4875,4404,4285,0.903384615,0.8789743590000001
14,Stockholm,Vallentuna,60-69,3156,2860,2788,0.906210393,0.883396705
15,Stockholm,Vallentuna,70-79,2696,2579,2517,0.956602374,0.9336053409999999
16,Stockholm,Vallentuna,80-89,1343,1295,1245,0.9642591209999999,0.9270290390000001
17,Stockholm,Vallentuna,>=90,265,235,222,0.886792453,0.8377358490000001
20,Stockholm,_steråker,30-39,5487,4636,4205,0.844906142,0.766356843
21,Stockholm,_steråker,40-49,6599,5743,5469,0.8702833759999999,0.8287619340000001
22,Stockholm,_steråker,50-59,6887,6288,6086,0.913024539,0.8836939159999999
23,Stockholm,_steråker,60-69,4418,4120,4018,0.932548665,0.909461295
24,Stockholm,_steråker,70-79,4632,4472,4355,0.9654576859999999,0.9401986179999999
25,Stockholm,_steråker,80-89,1931,1826,1751,0.9456240290000001,0.90678405
26,Stockholm,_steråker,>=90,376,357,324,0.949468085,0.861702128
29,Stockholm,Värmdö,30-39,5355,4388,3873,0.8194211020000001,0.7232493
30,Stockholm,Värmdö,40-49,6591,5764,5477,0.8745258690000001,0.830981642
31,Stockholm,Värmdö,50-59,6805,6156,5936,0.904628949,0.87229978
32,Stockholm,Värmdö,60-69,4717,4413,4281,0.935552258,0.90756837
33,Stockholm,Värmdö,70-79,4312,4065,3941,0.942717996,0.913961039
34,Stockholm,Värmdö,80-89,1563,1509,1391,0.9654510559999999,0.8899552140000001
35,Stockholm,Värmdö,>=90,305,278,255,0.91147541,0.836065574
38,Stockholm,Järfälla,30-39,12367,8547,7521,0.691113447,0.608150724
39,Stockholm,Järfälla,40-49,11351,9060,8461,0.798167562,0.7453968809999999
40,Stockholm,Järfälla,50-59,9994,8648,8379,0.8653191920000001,0.838403042
41,Stockholm,Järfälla,60-69,7284,6522,6327,0.89538715,0.868616145
42,Stockholm,Järfälla,70-79,6540,6077,5926,0.929204893,0.9061162079999999
43,Stockholm,Järfälla,80-89,3318,3116,2943,0.939119952,0.8869801079999999
44,Stockholm,Järfälla,>=90,744,666,597,0.89516129,0.802419355
47,Stockholm,Ekerö,30-39,2925,2368,2128,0.80957265,0.727521368
48,Stockholm,Ekerö,40-49,4490,3865,3680,0.860801782,0.8195991090000001
49,Stockholm,Ekerö,50-59,4341,3844,3739,0.8855102509999999,0.8613222759999999
50,Stockholm,Ekerö,60-69,2796,2596,2540,0.928469242,0.9084406290000001
51,Stockholm,Ekerö,70-79,2634,2490,2439,0.945330296,0.925968109
52,Stockholm,Ekerö,80-89,1150,1100,1028,0.956521739,0.893913043
53,Stockholm,Ekerö,>=90,231,222,204,0.961038961,0.883116883
56,Stockholm,Huddinge,30-39,16403,11204,9876,0.683045784,0.602084984
57,Stockholm,Huddinge,40-49,16947,13466,12680,0.794594914,0.748215023
